date,2330,2412,1216,2881,2884,SPY,TLT,GLD
2019-09-11,263.0000,111.0000,76.8000,44.9500,26.5500,8406.0438,3544.5228,4383.9174
2019-09-12,262.5000,111.0000,77.5000,45.0000,26.4000,8421.5936,3515.6379,4385.8664
2019-09-16,265.5000,111.5000,78.0000,45.3000,26.3500,8357.5669,3470.9209,4368.9082
2019-09-17,265.0000,111.5000,76.9000,45.5500,26.3500,8371.1403,3486.5852,4373.5993
2019-09-18,267.0000,111.5000,77.0000,45.6000,26.6000,8365.8437,3497.0745,4340.7631
2019-09-19,265.0000,112.0000,76.6000,45.2000,26.6000,8395.9281,3520.4417,4374.3113
2019-09-20,264.0000,112.5000,78.0000,45.1500,26.8000,8330.0789,3555.7743,4412.1516
2019-09-23,264.0000,112.0000,77.0000,44.8500,26.6000,8361.0420,3569.0739,4454.3812
2019-09-24,265.0000,111.5000,76.5000,45.0000,26.7500,8282.8566,3606.6190,4471.1393
2019-09-25,266.0000,110.5000,76.1000,44.4000,26.5500,8327.8056,3552.1415,4386.0927
2019-09-26,268.0000,110.0000,75.8000,44.6000,26.4000,8316.3689,3577.5337,4387.9750
2019-09-27,272.0000,111.0000,74.8000,44.5500,26.2500,8267.0242,3584.3576,4362.9858
2019-10-01,280.0000,112.0000,73.2000,45.0000,26.5000,8234.1685,3616.0830,4333.2776
2019-10-02,279.5000,112.0000,73.4000,44.7500,26.4000,8086.1082,3623.7477,4382.4501
2019-10-03,276.5000,111.5000,73.2000,44.1000,26.2000,8160.5022,3660.4575,4406.7044
2019-10-04,276.5000,112.0000,73.6000,44.0000,26.1500,8233.6456,3670.8618,4386.8384
2019-10-07,278.0000,112.5000,73.5000,44.0000,26.2500,8180.3514,3632.5459,4340.0051
2019-10-08,286.5000,112.5000,73.0000,44.3000,26.3000,8037.1667,3635.0098,4369.1490
2019-10-09,282.0000,111.5000,72.0000,43.9000,26.2500,8101.3680,3609.0777,4366.6171
2019-10-14,290.0000,112.0000,71.6000,44.8000,26.3000,8201.0133,3523.7050,4305.7092
2019-10-15,293.5000,112.0000,72.4000,44.9500,26.4000,8273.5520,3477.4724,4271.2283
2019-10-16,296.5000,112.5000,72.4000,45.2500,26.4000,8229.7558,3468.8410,4279.8374
2019-10-17,293.5000,112.5000,72.3000,45.3000,26.3500,8261.8786,3463.7042,4290.0112
